"LAS LLANURAS DEL TRÁNSITO","AUEL, JEAN M.",""
"LOS GRAFITIS DE MAM","MTNEZ DE LEZEA, TOTI",""
"LUNA LLENA","WODEHOUSE, P.G.",""
"CUANDO ÉRAMOS MAYORES","TYLER, ANNE",""
"LA TIERRA DE LAS CUEVAS PINTADAS","AUEL, JEAN M.",""
"ANTES DE QUE HIELE","MANKELL, HENNING",""
"LA MUERTE DE LORD EDGWARE","CHRISTIE, AGATHA",""
"ASESINATO EN EL CAMPO DE GOLF/PELIGRO INMINENTE","CHRISTIE, AGATHA",""
"LA VUELTA AL MUNDO EN 81 DIAS","LEGUINECHE, MANUEL",""
"AL PRINCIPIO DE LOS TIEMPOS","SITCHIN, ZECHARIA",""
"LA HISTORIA MIENTE","DÄNIKEN, ERICH VON",""
"LA LLEGADA DE LOS DIOSES","DÄNIKEN, ERICH VON",""
"CABALLO DE TROYA 9","BENITEZ, J.J.",""
"LA REINA JUANA","ARAM, BETHANY",""
"EL QUINTO DÍA","SCHÄTZING, FRANK",""
"EL QUINTO DÍA","SCHÄTZING, FRANK",""
"EL FIN DE LA INFANCIA","CLARKE, ARTHUR C.",""
"MISIÓN OLVIDO","DUEÑAS, MARÍA",""
"LA CONJURA DE CORTÉS","ASENSI, MATILDE",""
"EL VIAJE AL PODER DE LA MENTE","PUNSET, EDUARDO",""
"EL GEN EGOISTA","DAWKINS, RICHARD",""
"CRÓNICA DE UNA MUERTE ANUNCIADA","GARCÍA MÁRQUEZ, GABRIEL",""
"LA PROPORCIÓN AÚREA","LIVIO, MARIO",""
"UN ÁNGEL IMPURO","MANKELL, HENNING",""
"FALSA INOCENCIA","PERRY, ANNE",""
"EL FACTOR SCARPETTA","CORNWELL, PATRICIA",""
"EL SECRETO DEL NILO","CABANAS, ANTONIO",""
"EL ENIGMA DE LAS CATEDRALES","CORRAL, JOSE LUIS",""
"EL DÍA DEL RELÁMPAGO","BENITEZ, JJ",""
"INFERNO","BROWN, DAN",""
"MAR DE HUESOS","CORNWELL, PATRICIA",""
"LA CAMA DE HUESOS","CORNWELL, PATRICIA",""
"EL DÍA DEL RELÁMPAGO","BENITEZ, J.J.",""
"PORT MORTUARY","CORNWELL, PATRICIA",""
"BAJO EL DRAGO","UDEN, HORST",""
"EL GRAN DISEÑO","HAWKING, STEPHEN",""
"BREVÍSIMA HISTORIA DEL TIEMPO","MLODINOW, LEONARD",""
"LA HEREJÍA CÁTARA","ÁVILA GRANADOS, JESÚS",""
"JESÚS DE NAZARET : NADA ES LO QUE PARECE","BENITEZ, J.J.",""
"NUEVE DRAGONES","CONNELLY, MICHAEL",""
"LUNA FUNESTA","CONNELLY, MICHAEL",""
"LA OSCURIDAD DE LOS SUEÑOS","CONNELLY, MICHAEL",""
"1Q84","MURAKAMI, HARUKI",""
"DISPARA, YO YA ESTOY MUERTO","NAVARRO, JULIA",""
"EL MAESTRO DEL PRADO","SIERRA, JAVIER",""
"EXPEDIENTE 64","ADLER-OLSEN, JUSSI",""
"EL TIEMPO ENTRE COSTURAS","DUEÑAS, MARÍA",""
"NIEBLA ROJA","CORNWELL, PATRICIA",""
"ECHO PARK","CONNELLY, MICHAEL",""
"EL OJO DEL LEOPARDO","MANKELL, HENNING",""
"TEA-BAG","MANKELL, HENNING","BIB"
"AL OTRO LADO DE LA NIEBLA","ARSUAGA, JUAN LUIS","BIB"
"EL REINO DEL DRAGÓN DE ORO","ALLENDE, ISABEL","BIB"
"POST MORTEM","CORNWELL, PATRICIA","BIB"
"LA CIUDAD DE LAS BESTIAS","ALLENDE, ISABEL","BIB"
"EL BOSQUE DE LOS PIGMEOS","ALLENDE, ISABEL","BIB"
"EL CEREBRO DE KENNEDY","MANKELL, HENNING","BIB"
"LA CAJA NEGRA","CONNELLY, MICHAEL","BIB"
"EL  LIBRO DE LOS MUERTOS","CORNWELL, PATRICIA","SAL"
"VIDA Y MUERTE DE UN PIJO DE NEGURI","ARANA, ASÍS","BIB"
