INFERNO,"REY BUENO, MAR",XXX
EL LIBRERO DE LA ATLÁNTIDA,"PIMENTEL, MANUEL",XXX
JOYAS DE FAMILIA,"FTATTINI, ERIC",XXX
LOS PAPELES DE AGUA,"GALA, ANTONKIO",XXX
LA SONRISA ETRUSCA,"SAMPEDRO, JOSE LUIS",XXX
EL INFORME SAN MARCOS,"BOCOS, FERMIN",XXX
EL ENIGMA DE SEPT,"PISANO, ISABEL",XXX
LA POST-GUERRA VISTA POR UNA PART. Y SU MARIDO,"GARRIDO, PILAR - FORGES",XXX
ARAGÓN PRETA,"CARBONELL, JOAQUÍN",XXX
ARAGÓN A LA BRASA,"CARBONELL, JOAQUÍN",XXX
LOS REFUGIOS DE PIEDRA,"AUEL, JEAN M.",XXX
MUERTE ESCARLATA,"MOSLEY, WALTER",XXX
YO MATO,"FALETTI, GIORGIO",XXX
COMISIÓN EJECUTORA,"HURWITZ, GREGG",XXX
EL CADAVER ARREPENTIDO,"GUELBENZU, JOSE M.",XXX
LA CAIDA DE LOS GIGANTES,"FOLLET, KEN",XXX
EL CEMENTERIO DE PRAGA,"ECO, UMBERTO",XXX
"REGULAR, GRACIAS A DIOS","LABORDETA, JOSE ANTONIO",XXX
HUBO GIGANTES SOBRE LA TIERRA,"SITCHIN, ZECHARIA",XXX
EL CEREBRO DE KENNEDY,"MANKELL, HENNING",XXX
ZAPATOS ITALIANOS,"MANKELL, HENNING",XXX
ANTES DE QUE HIELE,"MANKELL, HENNING",XXX
LA LLEGADA DE LOS DIOSES,"DANIKEN, ERICH VON",XXX
XX,XX,XX
HUBO GIGANTES EN LA TIERRA ,"SITCHIN, ZECHARIA",XXX
EL VIAJE DE CLOE,"TEJADA, JAVIER",XXX
ASPASIA,"MEDEM, JULIO",XXX
TEOVNILOGÍA,"FREIXEDO, SALVADOR",XXX
NIEBLA ROJA,"CORNWELL, PATRICIA",XXX
PORT MORTUARY,"CORNWELL, PATRICIA",XXX
HAY ALTERNATIVAS,"NAVARRO LÓPEZ, VICENÇ",XXX
MENUDAS HISTORIAS DE LA HISTORIA,"CONCOSTRINA, NIEVES",XXX
SE ARMÓ LA DE SAN QUINTÍN Y OTRAS M H,"CONCOSTRINA, NIEVES",XXX
TODOS LOS NIÑOS PUEDEN SER EINSTEIN,"ALBERCA, FERNANDO",XXX
EL TIEMPO ENTRE COSTURAS,"DUEÑAS, MARÍA",XXX
LA INTELIGENCIA EJECUTIVA,"MARINA, JOSE ANTONIO",XXX
AL OTRO LADO DEL TÚNEL,"GAONA, JOSE MIGUEL ",XXX
UNO MÁS UNO SÓN DIEZ,PROFESOR LETONA,XXX
SANO Y SALVO (Y LIBRE DE INTERV.  MÉD. INN.),"GÉRVAS, DR. JUAN",XXX
DEL GUATEQUE AL ALTAR,"GARRIDO CENDOYA, PILAR",XXX
OJALÁ NO HUBIERA NÚMEROS,XXX,XXX
UNO Y UNO SON DIEZ,XXX,XXX
JESUS DE NAZARET (NADA ES LO QUE PARECE),"BENITEZ, JJ",XXX
"PLANETA ENCANTADO, 2, 3, 4, 5 Y 6","BENITEZ, JJ",XXX
ENIGMAS Y MISTERIOS PARA DUMMIES,"BENITEZ, JJ",XXX
EL HOMBRE QUE SUSURRABA A LOS UMMITAS,"BENITEZ, JJ",XXX
LA SONRISA ETRUSCA,"SAMPEDRO, JOSE LUIS",XXX
